,open,high,low,close,adj_close,volume,ema_9,ema_21,sma_50,macd,macd_signal,macd_hist,retorno_log,rsi_14,stoch_k,stoch_d,roc_10,vol_ratio,volatilidad_20,atr_14,bb_upper,bb_mid,bb_lower,bb_width,sent_pos,sent_neg,sent_neu
open,1.0,0.9952199868027443,0.9936518811636949,0.9885115281526102,0.9882521346017626,0.13223765788617506,0.9593869930233343,0.9156321549268727,0.7005598046356898,0.35505452469068605,0.35122527208032334,0.06460967529078653,0.13074782671552865,0.2984628599443263,0.2362801025009115,0.25893663700243646,0.15528181510024475,0.09319606691253476,0.08484363431175619,0.07781860369282545,0.8749374366050566,0.9006397500191439,0.8627981821482008,0.2509857421220586,0.007491686006665,0.21298783153962328,0.11969447512373652
high,0.9952199868027443,1.0,0.9945044640267133,0.9938430453439534,0.9939498602229788,0.12024367300928307,0.9666170514181583,0.9237756023751258,0.6966084813145963,0.3610471154589132,0.3568724809485153,0.06728471092888832,0.10653064728739196,0.32075435936760316,0.2590110024160258,0.2676301295326221,0.16417150772383596,0.09631038213464614,0.07653445027244495,0.08839531828277383,0.8825920898457761,0.9086369754679194,0.8630184119105689,0.2510264738848382,0.023200209978080873,0.1978283347814289,0.09436450016701116
low,0.9936518811636949,0.9945044640267133,1.0,0.9963149230958238,0.9957465722424962,0.16328568428746704,0.9582816385973635,0.911856584292684,0.6895607374731056,0.3710447060076829,0.3652121736114939,0.0533616502273226,0.09753163144150132,0.33408115004606304,0.2733026587316737,0.27554311547876925,0.1739117208578737,0.0602868111093404,0.10775758645192879,0.05482265852835943,0.8674816067434302,0.8973744045615707,0.8596586024196535,0.26145101985282804,0.02658243691291032,0.1798517985918103,0.08272925851038515
close,0.9885115281526102,0.9938430453439534,0.9963149230958238,1.0,0.9996094402496087,0.14886586011812697,0.961555751196571,0.9161666522727179,0.6932185369186131,0.36425815594139693,0.35664310176615416,0.06046915553684626,0.0678963835261558,0.33997132436832345,0.2851804746456362,0.2742026928545931,0.17070843482355744,0.07745077625735174,0.1077629040342738,0.0622347697097392,0.8713622432375405,0.9016867725779355,0.8641601305994532,0.26930214097817706,0.048082202637631924,0.1731993344135955,0.06713701923735943
adj_close,0.9882521346017626,0.9939498602229788,0.9957465722424962,0.9996094402496087,1.0,0.14340124845780802,0.9647033185171278,0.9213706566146095,0.701432895966192,0.35412033535014625,0.3469735034021713,0.06751804370603458,0.07130592876663652,0.33159567278086177,0.28057807821612923,0.26946960052773666,0.16108720647682503,0.07744503217039163,0.10159633058031918,0.06503432634574705,0.8761872683444055,0.9071538948667071,0.8693960865758349,0.2707490299503828,0.0555629469202916,0.16916773516669661,0.06078057098213569
volume,0.13223765788617506,0.12024367300928307,0.16328568428746704,0.14886586011812697,0.14340124845780802,1.0,0.08159284958820355,0.04857935536333601,0.012929007186977069,0.18879379633198665,0.19576997024507034,0.07809475228597648,0.23118645578411987,0.2054161645984247,0.1274663469517175,0.0879776010420024,0.20843674713835322,0.8420701166658868,0.3098717486969348,0.3070878705778514,0.005730159114284264,0.04292495552253153,0.07777162293190377,0.18383326885335935,0.1658259414471395,0.21316186591676337,0.20804557462926918
ema_9,0.9593869930233343,0.9666170514181583,0.9582816385973635,0.961555751196571,0.9647033185171278,0.08159284958820355,1.0,0.9843641487187799,0.7619614161770086,0.27874443669474125,0.30430230660484603,0.22727971755481255,0.16490660527069467,0.21615154628385122,0.1259589561975266,0.14435709245159029,0.00455320154422538,0.09643479276848521,0.060078277784900005,0.11805770740461158,0.9455353870466551,0.9758537890143918,0.9175419199110854,0.2884925427979783,0.14783045840803402,0.13900483857941087,0.007009534585128575
ema_21,0.9156321549268727,0.9237756023751258,0.911856584292684,0.9161666522727179,0.9213706566146095,0.04857935536333601,0.9843641487187799,1.0,0.8385146176289637,0.14131532092153773,0.18095778674646043,0.30722612884676204,0.16984731024868224,0.0916889936063921,0.022568961272928397,0.028816997606984175,0.10303745654489758,0.09585425210500291,0.02409181031323004,0.1589421821594617,0.9639002654502464,0.9964790613389868,0.9416706046341178,0.29799891061502926,0.17478235341764028,0.11468015381003269,0.035225742555997204
sma_50,0.7005598046356898,0.6966084813145963,0.6895607374731056,0.6932185369186131,0.701432895966192,0.012929007186977069,0.7619614161770086,0.8385146176289637,1.0,0.2900424714311069,0.24964844138244371,0.2977223528903649,0.10414054632233545,0.31978219328608926,0.23600089611341432,0.256060289941357,0.2928012573995995,0.09938241642519752,0.0013384749194697422,0.21652517183610417,0.7928816338386702,0.8405843113646575,0.8830676010431706,0.30310600709385793,0.11072171768421596,0.044180422309258574,0.08567932726656458
macd,0.35505452469068605,0.3610471154589132,0.3710447060076829,0.36425815594139693,0.35412033535014625,0.18879379633198665,0.27874443669474125,0.14131532092153773,0.2900424714311069,1.0,0.9511221506914959,0.32642794062641267,0.02486520136322179,0.861910561147591,0.5393253328856009,0.6328047895403645,0.6088326235917674,0.02176764574888162,0.16719784596308498,0.08189095265736965,0.1324579458867093,0.12461226686837898,0.04546148339103304,0.12724786034340865,0.08927899366410892,0.20280130531774704,0.15975845466871824
macd_signal,0.35122527208032334,0.3568724809485153,0.3652121736114939,0.35664310176615416,0.3469735034021713,0.19576997024507034,0.30430230660484603,0.18095778674646043,0.24964844138244371,0.9511221506914959,1.0,0.0698661799353013,0.06171222682880884,0.7456570106654286,0.37068754827889944,0.45184221398440233,0.41490693046447585,0.03860250599442744,0.20055267073794408,0.0868613535753717,0.18370496418789123,0.18013349635993953,0.11066062052787974,0.06827995936038836,0.07210748444774179,0.178842793032213,0.13719250906558206
macd_hist,0.06460967529078653,0.06728471092888832,0.0533616502273226,0.06046915553684626,0.06751804370603458,0.07809475228597648,0.22727971755481255,0.30722612884676204,0.2977223528903649,0.32642794062641267,0.0698661799353013,1.0,0.11723980516521347,0.4701361744963943,0.6178453932205662,0.6722691340448256,0.805229279618493,0.031340977060183524,0.03386693443336542,0.058605817469106807,0.3490954418757251,0.36119743871629156,0.3679751446038155,0.2627274693249066,0.2321074327210215,0.0020569259770708706,0.13049405189358956
retorno_log,0.13074782671552865,0.10653064728739196,0.09753163144150132,0.0678963835261558,0.07130592876663652,0.23118645578411987,0.16490660527069467,0.16984731024868224,0.10414054632233545,0.02486520136322179,0.06171222682880884,0.11723980516521347,1.0,0.1524622850894133,0.18380973566036823,0.027394091422565846,0.2967316278387331,0.1714390705983012,0.05342932928177517,0.08933922236977793,0.16632591748276976,0.1723393958655647,0.1273982379596828,0.020546989795034307,0.23906324467720166,0.13922362916905973,0.20876659941991388
rsi_14,0.2984628599443263,0.32075435936760316,0.33408115004606304,0.33997132436832345,0.33159567278086177,0.2054161645984247,0.21615154628385122,0.0916889936063921,0.31978219328608926,0.861910561147591,0.7456570106654286,0.4701361744963943,0.1524622850894133,1.0,0.7888936720804439,0.7936748158221774,0.7153759000537498,0.07653511568866014,0.168290318255585,0.1388902486377776,0.07109603981448707,0.06655538005920404,0.026728087492353697,0.08526069941378349,0.03514818754954619,0.12935786794766455,0.05056817010325465
stoch_k,0.2362801025009115,0.2590110024160258,0.2733026587316737,0.2851804746456362,0.28057807821612923,0.1274663469517175,0.1259589561975266,0.022568961272928397,0.23600089611341432,0.5393253328856009,0.37068754827889944,0.6178453932205662,0.18380973566036823,0.7888936720804439,1.0,0.9167363852043664,0.6964419274408147,0.045310264324631484,0.03099630023457388,0.1349345382627546,0.005680191800343396,0.01574049093950242,0.08280077148497794,0.10330057280412434,0.01257073105822744,0.06167089413731384,0.02644152176177081
stoch_d,0.25893663700243646,0.2676301295326221,0.27554311547876925,0.2742026928545931,0.26946960052773666,0.0879776010420024,0.14435709245159029,0.028816997606984175,0.256060289941357,0.6328047895403645,0.45184221398440233,0.6722691340448256,0.027394091422565846,0.7936748158221774,0.9167363852043664,1.0,0.7094504493382038,0.005220010121265598,0.028809270897151032,0.12582590239296398,0.003050501817738304,0.015197266670292257,0.08956873558865143,0.1259848204725406,0.014520001307017649,0.06225826765607599,0.025673558543262552
roc_10,0.15528181510024475,0.16417150772383596,0.1739117208578737,0.17070843482355744,0.16108720647682503,0.20843674713835322,0.00455320154422538,0.10303745654489758,0.2928012573995995,0.6088326235917674,0.41490693046447585,0.805229279618493,0.2967316278387331,0.7153759000537498,0.6964419274408147,0.7094504493382038,1.0,0.0980610245994695,0.031576877089155166,0.1055796356243463,0.12962160823040061,0.14576012963811377,0.19629724665358167,0.22277675669832928,0.2848291914019015,0.21510940366464473,0.27543517290381464
vol_ratio,0.09319606691253476,0.09631038213464614,0.0602868111093404,0.07745077625735174,0.07744503217039163,0.8420701166658868,0.09643479276848521,0.09585425210500291,0.09938241642519752,0.02176764574888162,0.03860250599442744,0.031340977060183524,0.1714390705983012,0.07653511568866014,0.045310264324631484,0.005220010121265598,0.0980610245994695,1.0,0.0045018899619734855,0.11853182366803934,0.08282547903423282,0.09179241690270791,0.11219556019267139,0.04673744863615714,0.012468251758337408,0.059174357994775426,0.025144594172510058
volatilidad_20,0.08484363431175619,0.07653445027244495,0.10775758645192879,0.1077629040342738,0.10159633058031918,0.3098717486969348,0.060078277784900005,0.02409181031323004,0.0013384749194697422,0.16719784596308498,0.20055267073794408,0.03386693443336542,0.05342932928177517,0.168290318255585,0.03099630023457388,0.028809270897151032,0.031576877089155166,0.0045018899619734855,1.0,0.610009478024587,0.13428817250590533,0.022146963445682406,0.19645071814526957,0.6366686042831708,0.0029218947898758934,0.0932774597390012,0.05221973209361569
atr_14,0.07781860369282545,0.08839531828277383,0.05482265852835943,0.0622347697097392,0.06503432634574705,0.3070878705778514,0.11805770740461158,0.1589421821594617,0.21652517183610417,0.08189095265736965,0.0868613535753717,0.058605817469106807,0.08933922236977793,0.1388902486377776,0.1349345382627546,0.12582590239296398,0.1055796356243463,0.11853182366803934,0.610009478024587,1.0,0.27929044037725825,0.16841746225037152,0.0776840046785934,0.47448694895552335,0.007868649538278013,0.021710469397100293,0.016161186814858612
bb_upper,0.8749374366050566,0.8825920898457761,0.8674816067434302,0.8713622432375405,0.8761872683444055,0.005730159114284264,0.9455353870466551,0.9639002654502464,0.7928816338386702,0.1324579458867093,0.18370496418789123,0.3490954418757251,0.16632591748276976,0.07109603981448707,0.005680191800343396,0.003050501817738304,0.12962160823040061,0.08282547903423282,0.13428817250590533,0.27929044037725825,1.0,0.9665337129011607,0.8572298474041989,0.0881524840582381,0.1587040768032246,0.1470982335873556,0.00868094382083507
bb_mid,0.9006397500191439,0.9086369754679194,0.8973744045615707,0.9016867725779355,0.9071538948667071,0.04292495552253153,0.9758537890143918,0.9964790613389868,0.8405843113646575,0.12461226686837898,0.18013349635993953,0.36119743871629156,0.1723393958655647,0.06655538005920404,0.01574049093950242,0.015197266670292257,0.14576012963811377,0.09179241690270791,0.022146963445682406,0.16841746225037152,0.9665337129011607,1.0,0.9494829717928882,0.3008125718703952,0.18564264957737056,0.10493975677515106,0.04656226835773441
bb_lower,0.8627981821482008,0.8630184119105689,0.8596586024196535,0.8641601305994532,0.8693960865758349,0.07777162293190377,0.9175419199110854,0.9416706046341178,0.8830676010431706,0.04546148339103304,0.11066062052787974,0.3679751446038155,0.1273982379596828,0.026728087492353697,0.08280077148497794,0.08956873558865143,0.19629724665358167,0.11219556019267139,0.19645071814526957,0.0776840046785934,0.8572298474041989,0.9494829717928882,1.0,0.49478242054720245,0.1335443520105232,0.04622304759406865,0.049368560368192003
bb_width,0.2509857421220586,0.2510264738848382,0.26145101985282804,0.26930214097817706,0.2707490299503828,0.18383326885335935,0.2884925427979783,0.29799891061502926,0.30310600709385793,0.12724786034340865,0.06827995936038836,0.2627274693249066,0.020546989795034307,0.08526069941378349,0.10330057280412434,0.1259848204725406,0.22277675669832928,0.04673744863615714,0.6366686042831708,0.47448694895552335,0.0881524840582381,0.3008125718703952,0.49478242054720245,1.0,0.14340654728201035,0.08274268363010114,0.12481317351595062
sent_pos,0.007491686006665,0.023200209978080873,0.02658243691291032,0.048082202637631924,0.0555629469202916,0.1658259414471395,0.14783045840803402,0.17478235341764028,0.11072171768421596,0.08927899366410892,0.07210748444774179,0.2321074327210215,0.23906324467720166,0.03514818754954619,0.01257073105822744,0.014520001307017649,0.2848291914019015,0.012468251758337408,0.0029218947898758934,0.007868649538278013,0.1587040768032246,0.18564264957737056,0.1335443520105232,0.14340654728201035,1.0,0.6534917015263436,0.9118428878530805
sent_neg,0.21298783153962328,0.1978283347814289,0.1798517985918103,0.1731993344135955,0.16916773516669661,0.21316186591676337,0.13900483857941087,0.11468015381003269,0.044180422309258574,0.20280130531774704,0.178842793032213,0.0020569259770708706,0.13922362916905973,0.12935786794766455,0.06167089413731384,0.06225826765607599,0.21510940366464473,0.059174357994775426,0.0932774597390012,0.021710469397100293,0.1470982335873556,0.10493975677515106,0.04622304759406865,0.08274268363010114,0.6534917015263436,1.0,0.906632812076721
sent_neu,0.11969447512373652,0.09436450016701116,0.08272925851038515,0.06713701923735943,0.06078057098213569,0.20804557462926918,0.007009534585128575,0.035225742555997204,0.08567932726656458,0.15975845466871824,0.13719250906558206,0.13049405189358956,0.20876659941991388,0.05056817010325465,0.02644152176177081,0.025673558543262552,0.27543517290381464,0.025144594172510058,0.05221973209361569,0.016161186814858612,0.00868094382083507,0.04656226835773441,0.049368560368192003,0.12481317351595062,0.9118428878530805,0.906632812076721,1.0
