feature,media,std,min,max,skewness,kurtosis,nulos
open,0.4974,0.348,-0.9644,1.2069,-1.1719,2.2633,0
high,0.5018,0.3568,-1.0469,1.2248,-1.3379,2.9472,0
low,0.5026,0.3565,-0.983,1.2261,-1.2389,2.4384,0
close,0.5103,0.351,-0.9611,1.2109,-1.2824,2.5115,0
adj_close,0.5124,0.3502,-0.9611,1.2252,-1.2842,2.5413,0
volume,0.206,0.1989,-0.1777,2.88,3.5383,28.0249,0
ema_9,0.5734,0.4069,-1.394,1.2247,-1.8914,5.3692,0
ema_21,0.6191,0.4172,-1.475,1.2805,-1.9267,5.665,0
sma_50,0.664,0.3706,-0.4898,1.4941,-0.5156,-0.4002,0
macd,0.4388,0.301,-0.328,1.0,-0.0536,-0.7464,0
macd_signal,0.4371,0.3282,-0.4113,1.0462,-0.0294,-0.8902,0
macd_hist,0.4243,0.2382,-0.3818,1.0,-0.0063,0.1278,0
retorno_log,0.5381,0.2072,-1.1082,1.1864,-0.5981,2.8134,0
rsi_14,0.4501,0.2696,-0.2839,1.0049,-0.0858,-0.642,0
stoch_k,0.556,0.301,-0.0257,1.0434,-0.2382,-1.2893,0
stoch_d,0.5438,0.3001,-0.1009,1.0273,-0.2388,-1.298,0
roc_10,0.4006,0.2168,-0.4703,1.0,0.1157,0.5801,0
vol_ratio,0.2031,0.167,-0.1485,1.5026,2.1722,7.0263,0
volatilidad_20,0.4427,0.3439,-0.1065,1.6028,0.955,0.2633,0
atr_14,0.3436,0.2521,-0.2374,1.1468,0.7755,0.149,0
bb_upper,0.5876,0.4057,-1.469,1.3073,-1.9132,6.1926,0
bb_mid,0.6359,0.3994,-1.3114,1.3006,-1.8044,4.9588,0
bb_lower,0.6749,0.3364,-0.5386,1.4616,-0.9186,0.7669,0
bb_width,0.2744,0.2377,-0.0182,1.0,1.2886,1.066,0
sent_pos,0.182,0.03,0.1499,0.2408,0.786,-0.4906,0
sent_neg,0.1404,0.0292,0.0991,0.1961,0.5778,-0.4813,0
sent_neu,0.6776,0.0539,0.5631,0.751,-0.9781,0.434,0
