feature,H_stat,p_valor,discrimina
adj_close,77.03,0.0,SI
close,76.48,0.0,SI
low,72.16,0.0,SI
high,71.19,0.0,SI
ema_9,67.84,0.0,SI
open,67.57,0.0,SI
ema_21,63.79,0.0,SI
bb_lower,60.33,0.0,SI
bb_mid,58.46,0.0,SI
bb_upper,53.43,0.0,SI
sma_50,51.74,0.0,SI
atr_14,8.73,0.012692,SI
bb_width,8.35,0.015403,SI
retorno_log,6.35,0.041832,SI
stoch_k,6.31,0.042553,SI
sent_neg,5.25,0.07255,NO
sent_neu,4.84,0.088817,NO
volume,4.74,0.093694,NO
rsi_14,4.62,0.099271,NO
sent_pos,4.13,0.126562,NO
volatilidad_20,3.54,0.170649,NO
macd_hist,2.65,0.265366,NO
stoch_d,2.48,0.289589,NO
macd,2.37,0.305382,NO
roc_10,2.07,0.355929,NO
macd_signal,1.31,0.518357,NO
vol_ratio,0.58,0.746646,NO
